====================================================================================================
KIỂM TRA TRÙNG LẶP TOÀN BỘ DÒNG

Đã loại bỏ cột ID.

Phát hiện 182 dòng trùng lặp hoàn toàn (full-row duplicates).
Số nhóm trùng lặp: 176

TẤT CẢ CÁC DÒNG TRÙNG LẶP:
 Year_Birth  Education Marital_Status  Income  Kidhome  Teenhome Dt_Customer  Recency  MntWines  MntFruits  MntMeatProducts  MntFishProducts  MntSweetProducts  MntGoldProds  NumDealsPurchases  NumWebPurchases  NumCatalogPurchases  NumStorePurchases  NumWebVisitsMonth  AcceptedCmp3  AcceptedCmp4  AcceptedCmp5  AcceptedCmp1  AcceptedCmp2  Complain  Z_CostContact  Z_Revenue  Response
       1955   2n Cycle        Married 72635.0        0         0  03-06-2013       54       390         22              323              104                35           107                  1                6                    8                  6                  3             0             0             0             1             0         0              3         11         0
       1955 Graduation       Together 38946.0        0         1  24-10-2013       84       116          6               82                6                 6            41                  2                3                    1                  6                  5             0             0             0             0             0         0              3         11         0
       1955 Graduation       Together 38946.0        0         1  24-10-2013       84       116          6               82                6                 6            41                  2                3                    1                  6                  5             0             0             0             0             0         0              3         11         0
       1955 Graduation       Together 42586.0        1         1  29-10-2012        7       194          2               56                0                 0             0                  5                4                    1                  6                  8             0             0             0             0             0         0              3         11         1
       1955 Graduation       Together 42586.0        1         1  29-10-2012        7       194          2               56                0                 0             0                  5                4                    1                  6                  8             0             0             0             0             0         0              3         11         1
       1955     Master        Married 38452.0        1         1  30-03-2014       62        56          0               14                0                 0             2                  3                3                    0                  3                  7             0             0             0             0             0         0              3         11         0
       1955     Master        Married 38452.0        1         1  30-03-2014       62        56          0               14                0                 0             2                  3                3                    0                  3                  7             0             0             0             0             0         0              3         11         0
       1955        PhD       Together 46015.0        1         1  13-04-2014       25        38          0                2                0                 0             6                  1                1                    0                  3                  7             1             0             0             0             1         0              3         11         0
       1955        PhD       Together 46015.0        1         1  13-04-2014       25        38          0                2                0                 0             6                  1                1                    0                  3                  7             1             0             0             0             1         0              3         11         0
       1956 Graduation       Together 54450.0        1         1  14-09-2012        0       454          0              171                8                19            32                 12                9                    2                  8                  8             0             0             0             0             0         0              3         11         0
       1956 Graduation       Together 54450.0        1         1  14-09-2012        0       454          0              171                8                19            32                 12                9                    2                  8                  8             0             0             0             0             0         0              3         11         0
       1956     Master         Single 64857.0        0         0  23-11-2012       78       556         14              717              210                 0            43                  1                7                    5                 10                  4             0             0             0             0             0         0              3         11         0
       1956     Master         Single 64857.0        0         0  23-11-2012       78       556         14              717              210                 0            43                  1                7                    5                 10                  4             0             0             0             0             0         0              3         11         0
       1956     Master       Together 50943.0        0         1  21-06-2013       49        31          0                7                2                 0             6                  1                1                    0                  3                  5             0             0             0             0             0         0              3         11         0
       1956     Master       Together 50943.0        0         1  21-06-2013       49        31          0                7                2                 0             6                  1                1                    0                  3                  5             0             0             0             0             0         0              3         11         0
       1957 Graduation       Together 21994.0        0         1  24-12-2012        4         9          0                6                3                 1             3                  1                0                    0                  3                  5             0             0             0             0             0         0              3         11         0
       1957 Graduation       Together 21994.0        0         1  24-12-2012        4         9          0                6                3                 1             3                  1                0                    0                  3                  5             0             0             0             0             0         0              3         11         0
       1957 Graduation       Together 26091.0        1         1  25-02-2014       84        15         10               19                8                17            20                  3                2                    1                  3                  5             0             0             0             0             0         0              3         11         0
       1957 Graduation       Together 26091.0        1         1  25-02-2014       84        15         10               19                8                17            20                  3                2                    1                  3                  5             0             0             0             0             0         0              3         11         0
       1958   2n Cycle       Together 26490.0        0         0  22-09-2012       92        45         47               52               21                20            25                  2                3                    1                  5                  6             0             0             0             0             0         0              3         11         0
       1958   2n Cycle       Together 26490.0        0         0  22-09-2012       92        45         47               52               21                20            25                  2                3                    1                  5                  6             0             0             0             0             0         0              3         11         0
       1958 Graduation       Together 53977.0        0         1  08-06-2013       21       620         16              165                0                24            82                  5                5                    5                 12                  5             0             0             0             0             0         0              3         11         0
       1958 Graduation       Together 53977.0        0         1  08-06-2013       21       620         16              165                0                24            82                  5                5                    5                 12                  5             0             0             0             0             0         0              3         11         0
       1959 Graduation        Married 18690.0        0         0  28-12-2012       77         6          1                7               23                 4            19                  1                1                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1959 Graduation        Married 18690.0        0         0  28-12-2012       77         6          1                7               23                 4            19                  1                1                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1959 Graduation        Married 18690.0        0         0  28-12-2012       77         6          1                7               23                 4            19                  1                1                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1959 Graduation       Together 71367.0        0         0  23-08-2013       24       227         23              389               42                21            75                  1                4                    5                  7                  2             0             0             0             0             0         0              3         11         0
       1959 Graduation       Together 71367.0        0         0  23-08-2013       24       227         23              389               42                21            75                  1                4                    5                  7                  2             0             0             0             0             0         0              3         11         0
       1959 Graduation       Together 87771.0        0         1  22-05-2013       61      1492         38              287               50                57            33                  1                5                   10                  4                  6             0             1             1             1             1         0              3         11         1
       1959 Graduation       Together 87771.0        0         1  22-05-2013       61      1492         38              287               50                57            33                  1                5                   10                  4                  6             0             1             1             1             1         0              3         11         1
       1960 Graduation       Together 62807.0        0         1  31-08-2012       83       526         28              135               10                21            99                  3                5                    3                 12                  5             0             0             0             0             0         0              3         11         0
       1960 Graduation       Together 62807.0        0         1  31-08-2012       83       526         28              135               10                21            99                  3                5                    3                 12                  5             0             0             0             0             0         0              3         11         0
       1960 Graduation       Together 63381.0        0         1  05-10-2012       78       571         50              142               33                50           159                  4                4                    5                 13                  2             0             0             0             0             0         0              3         11         0
       1960 Graduation       Together 63381.0        0         1  05-10-2012       78       571         50              142               33                50           159                  4                4                    5                 13                  2             0             0             0             0             0         0              3         11         0
       1960     Master         Single 98777.0        0         0  17-02-2014       23      1000         19              711              125               115            38                  0                4                    6                  9                  1             0             1             0             0             0         0              3         11         0
       1960     Master         Single 98777.0        0         0  17-02-2014       23      1000         19              711              125               115            38                  0                4                    6                  9                  1             0             1             0             0             0         0              3         11         0
       1960     Master       Together 17144.0        1         1  15-02-2014       96        18          2               19                0                 2             6                  5                3                    0                  4                  7             0             0             0             0             0         0              3         11         0
       1960     Master       Together 17144.0        1         1  15-02-2014       96        18          2               19                0                 2             6                  5                3                    0                  4                  7             0             0             0             0             0         0              3         11         0
       1961      Basic        Married 28249.0        0         0  15-06-2014       80         1          9                7                2                14            10                  1                2                    0                  3                  6             0             0             0             0             0         0              3         11         0
       1961      Basic        Married 28249.0        0         0  15-06-2014       80         1          9                7                2                14            10                  1                2                    0                  3                  6             0             0             0             0             0         0              3         11         0
       1961 Graduation        Married 60544.0        1         1  25-08-2012       92       201          2               43                3                 5            35                  4                5                    1                  5                  6             0             0             0             0             0         0              3         11         0
       1961 Graduation        Married 60544.0        1         1  25-08-2012       92       201          2               43                3                 5            35                  4                5                    1                  5                  6             0             0             0             0             0         0              3         11         0
       1961     Master       Together 74881.0        1         1  08-03-2013       48       505         72              270               36                27            54                  4                9                    2                 12                  5             0             0             0             0             0         0              3         11         0
       1961     Master       Together 74881.0        1         1  08-03-2013       48       505         72              270               36                27            54                  4                9                    2                 12                  5             0             0             0             0             0         0              3         11         0
       1962 Graduation       Together 76081.0        0         0  23-05-2014       85       292         30              415               63                33           200                  1                4                    5                  4                  2             0             0             0             1             0         0              3         11         0
       1962 Graduation       Together 76081.0        0         0  23-05-2014       85       292         30              415               63                33           200                  1                4                    5                  4                  2             0             0             0             1             0         0              3         11         0
       1962     Master        Married 58646.0        0         1  10-06-2013        3        62          1               44                6                 5            22                  1                2                    1                  4                  4             0             0             0             0             0         0              3         11         0
       1962     Master        Married 58646.0        0         1  10-06-2013        3        62          1               44                6                 5            22                  1                2                    1                  4                  4             0             0             0             0             0         0              3         11         0
       1962        PhD       Divorced 85696.0        0         0  03-05-2013       88       714         76              395              116                 0            12                  1                4                    6                  9                  1             0             0             0             0             0         0              3         11         1
       1962        PhD       Divorced 85696.0        0         0  03-05-2013       88       714         76              395              116                 0            12                  1                4                    6                  9                  1             0             0             0             0             0         0              3         11         1
       1962        PhD       Together 31497.0        0         1  06-12-2012       22       108          1               28               13                 1             4                  2                3                    1                  4                  8             0             0             0             0             0         0              3         11         0
       1962        PhD       Together 31497.0        0         1  06-12-2012       22       108          1               28               13                 1             4                  2                3                    1                  4                  8             0             0             0             0             0         0              3         11         0
       1963 Graduation       Divorced 68118.0        0         1  18-10-2013       51       595         23              123               10                23           154                  2                8                    9                  4                  6             0             0             0             0             0         0              3         11         0
       1963 Graduation       Divorced 68118.0        0         1  18-10-2013       51       595         23              123               10                23           154                  2                8                    9                  4                  6             0             0             0             0             0         0              3         11         0
       1963 Graduation        Married 22419.0        0         0  18-04-2013       74        30          3               47               19                21            42                  1                3                    2                  2                  8             0             0             0             0             0         0              3         11         0
       1963 Graduation        Married 22419.0        0         0  18-04-2013       74        30          3               47               19                21            42                  1                3                    2                  2                  8             0             0             0             0             0         0              3         11         0
       1963 Graduation        Married 80124.0        0         0  26-06-2014       47       483         84              398              205                84           241                  1                3                    7                  8                  1             1             0             0             0             0         0              3         11         0
       1963 Graduation        Married 80124.0        0         0  26-06-2014       47       483         84              398              205                84           241                  1                3                    7                  8                  1             1             0             0             0             0         0              3         11         0
       1963     Master       Together 38620.0        0         0  11-05-2013       56       112         17               44               34                22            89                  1                2                    5                  3                  3             0             0             0             0             0         0              3         11         0
       1963     Master       Together 38620.0        0         0  11-05-2013       56       112         17               44               34                22            89                  1                2                    5                  3                  3             0             0             0             0             0         0              3         11         0
       1963        PhD         Single 48918.0        1         1  12-04-2014       21        52          0                9                0                 0             1                  2                1                    0                  4                  4             0             0             0             0             0         0              3         11         0
       1963        PhD         Single 48918.0        1         1  12-04-2014       21        52          0                9                0                 0             1                  2                1                    0                  4                  4             0             0             0             0             0         0              3         11         0
       1964 Graduation        Married 42523.0        0         0  23-04-2014       96        14         36               11                3                26            35                  1                1                    1                  4                  2             0             0             0             0             0         0              3         11         0
       1964 Graduation        Married 42523.0        0         0  23-04-2014       96        14         36               11                3                26            35                  1                1                    1                  4                  2             0             0             0             0             0         0              3         11         0
       1964 Graduation         Single 18701.0        1         1  04-06-2013       95        12          4                2               10                 6            10                  4                2                    0                  4                  5             0             0             0             0             0         0              3         11         0
       1964 Graduation         Single 18701.0        1         1  04-06-2013       95        12          4                2               10                 6            10                  4                2                    0                  4                  5             0             0             0             0             0         0              3         11         0
       1964        PhD        Married 45759.0        1         1  23-02-2013       13        42          1               18                3                 0             4                  2                2                    0                  3                  7             0             0             0             0             0         0              3         11         0
       1964        PhD        Married 45759.0        1         1  23-02-2013       13        42          1               18                3                 0             4                  2                2                    0                  3                  7             0             0             0             0             0         0              3         11         0
       1964        PhD        Married 65526.0        0         1  11-04-2014       22       397         19               69               12                 0             9                  1                4                    4                  8                  2             0             0             0             0             0         0              3         11         0
       1964        PhD        Married 65526.0        0         1  11-04-2014       22       397         19               69               12                 0             9                  1                4                    4                  8                  2             0             0             0             0             0         0              3         11         0
       1965   2n Cycle        Married 46891.0        0         1  01-09-2013       91        43         12               23               29                15            61                  1                2                    1                  4                  4             0             0             0             0             0         0              3         11         0
       1965   2n Cycle        Married 46891.0        0         1  01-09-2013       91        43         12               23               29                15            61                  1                2                    1                  4                  4             0             0             0             0             0         0              3         11         0
       1965   2n Cycle        Married 70924.0        0         0  07-04-2014       41       635        114              254              132               152            76                  1                6                    6                  7                  3             0             0             1             0             0         0              3         11         0
       1965   2n Cycle        Married 70924.0        0         0  07-04-2014       41       635        114              254              132               152            76                  1                6                    6                  7                  3             0             0             1             0             0         0              3         11         0
       1965 Graduation        Married 69139.0        0         1  27-01-2014       23        86         12               75               33                15             6                  1                4                    1                  5                  4             0             0             0             0             0         0              3         11         0
       1965 Graduation        Married 69139.0        0         1  27-01-2014       23        86         12               75               33                15             6                  1                4                    1                  5                  4             0             0             0             0             0         0              3         11         0
       1965 Graduation       Together 29672.0        1         1  12-03-2013        6         9          1                3                0                 4             8                  1                0                    0                  3                  6             0             0             0             0             0         0              3         11         0
       1965 Graduation       Together 29672.0        1         1  12-03-2013        6         9          1                3                0                 4             8                  1                0                    0                  3                  6             0             0             0             0             0         0              3         11         0
       1965     Master        Married 56962.0        2         1  11-10-2013       60       292          3               77               10                 3            26                  7                6                    3                  5                  7             0             0             0             0             0         0              3         11         0
       1965     Master        Married 56962.0        2         1  11-10-2013       60       292          3               77               10                 3            26                  7                6                    3                  5                  7             0             0             0             0             0         0              3         11         0
       1965     Master         Single 35791.0        2         1  06-05-2013       94        27          0                5                0                 0             3                  2                1                    0                  3                  8             0             0             0             0             0         0              3         11         0
       1965     Master         Single 35791.0        2         1  06-05-2013       94        27          0                5                0                 0             3                  2                1                    0                  3                  8             0             0             0             0             0         0              3         11         0
       1965     Master       Together 45143.0        0         1  26-08-2013       74       202          5               74               11                 5            14                  3                6                    1                  5                  7             0             0             0             0             0         0              3         11         0
       1965     Master       Together 45143.0        0         1  26-08-2013       74       202          5               74               11                 5            14                  3                6                    1                  5                  7             0             0             0             0             0         0              3         11         0
       1965        PhD        Married 84618.0        0         0  22-11-2013       96       684        100              801               21                66             0                  1                6                    9                 10                  2             0             0             1             0             0         0              3         11         0
       1965        PhD        Married 84618.0        0         0  22-11-2013       96       684        100              801               21                66             0                  1                6                    9                 10                  2             0             0             1             0             0         0              3         11         0
       1966      Basic       Together 22634.0        0         0  16-01-2013       47         2         23               11                8                 6            46                  1                2                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1966      Basic       Together 22634.0        0         0  16-01-2013       47         2         23               11                8                 6            46                  1                2                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1966 Graduation        Married 44794.0        0         1  08-06-2014       99        54          0                7                0                 0             4                  1                2                    0                  3                  6             0             0             0             0             0         0              3         11         0
       1966 Graduation        Married 44794.0        0         1  08-06-2014       99        54          0                7                0                 0             4                  1                2                    0                  3                  6             0             0             0             0             0         0              3         11         0
       1966 Graduation        Married 61286.0        0         1  02-08-2013       34       356          0              107               19                 9           117                  2                7                    1                  8                  5             0             0             0             0             0         0              3         11         0
       1966 Graduation        Married 61286.0        0         1  02-08-2013       34       356          0              107               19                 9           117                  2                7                    1                  8                  5             0             0             0             0             0         0              3         11         0
       1966 Graduation         Single 37070.0        1         1  20-03-2013       30       231          7              137                4                15            39                  9                5                    1                  8                  7             0             0             0             0             0         0              3         11         1
       1966 Graduation         Single 37070.0        1         1  20-03-2013       30       231          7              137                4                15            39                  9                5                    1                  8                  7             0             0             0             0             0         0              3         11         1
       1966 Graduation         Single 63810.0        0         1  11-11-2012       45       977         12              253               16                12           101                  4                4                    3                 12                  8             0             1             0             0             0         0              3         11         0
       1966 Graduation         Single 63810.0        0         1  11-11-2012       45       977         12              253               16                12           101                  4                4                    3                 12                  8             0             1             0             0             0         0              3         11         0
       1966 Graduation       Together 37758.0        1         1  04-10-2012       49        27          2               10                0                 0             1                  2                1                    0                  3                  8             0             0             0             0             0         0              3         11         0
       1966 Graduation       Together 37758.0        1         1  04-10-2012       49        27          2               10                0                 0             1                  2                1                    0                  3                  8             0             0             0             0             0         0              3         11         0
       1967 Graduation        Married 22574.0        2         1  28-10-2013       28        25          0                8                2                 0             2                  2                2                    0                  3                  7             0             0             0             0             0         0              3         11         0
       1967 Graduation        Married 22574.0        2         1  28-10-2013       28        25          0                8                2                 0             2                  2                2                    0                  3                  7             0             0             0             0             0         0              3         11         0
       1967 Graduation         Single 79146.0        1         1  24-04-2014       33       245         16              223               21                43            16                  2                8                    1                  8                  6             0             0             0             0             0         0              3         11         0
       1967 Graduation         Single 79146.0        1         1  24-04-2014       33       245         16              223               21                43            16                  2                8                    1                  8                  6             0             0             0             0             0         0              3         11         0
       1967        PhD        Married 77766.0        0         1  22-02-2013       97      1004         59              265              115                59            27                  2               11                   10                 11                  6             1             0             0             0             0         0              3         11         1
       1967        PhD        Married 77766.0        0         1  22-02-2013       97      1004         59              265              115                59            27                  2               11                   10                 11                  6             1             0             0             0             0         0              3         11         1
       1968 Graduation       Together 58554.0        1         1  26-09-2012       55       368         24               68               38                 0            88                  6                8                    2                  6                  7             0             0             0             0             0         0              3         11         0
       1968 Graduation       Together 58554.0        1         1  26-09-2012       55       368         24               68               38                 0            88                  6                8                    2                  6                  7             0             0             0             0             0         0              3         11         0
       1968     Master       Divorced 41335.0        1         0  26-12-2013       24       112         19               21               16                14             5                  3                4                    1                  4                  7             0             0             0             0             0         0              3         11         0
       1968     Master       Divorced 41335.0        1         0  26-12-2013       24       112         19               21               16                14             5                  3                4                    1                  4                  7             0             0             0             0             0         0              3         11         0
       1968     Master       Divorced 63841.0        0         1  21-04-2013       64       635         15              100               20                 7           131                  1                9                    3                  9                  6             0             0             0             0             0         0              3         11         0
       1968     Master       Divorced 63841.0        0         1  21-04-2013       64       635         15              100               20                 7           131                  1                9                    3                  9                  6             0             0             0             0             0         0              3         11         0
       1968     Master       Divorced 63841.0        0         1  21-04-2013       64       635         15              100               20                 7           131                  1                9                    3                  9                  6             0             0             0             0             0         0              3         11         0
       1969 Graduation        Married 25293.0        1         0  15-09-2013       51        15          0               11                0                 2             9                  1                1                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1969 Graduation        Married 25293.0        1         0  15-09-2013       51        15          0               11                0                 2             9                  1                1                    1                  2                  8             0             0             0             0             0         0              3         11         0
       1969 Graduation        Married 56796.0        0         1  16-02-2013       24       656         38              161               62                47            37                  3                8                    9                  7                  7             0             0             0             0             0         0              3         11         0
       1969 Graduation        Married 56796.0        0         1  16-02-2013       24       656         38              161               62                47            37                  3                8                    9                  7                  7             0             0             0             0             0         0              3         11         0
       1969 Graduation       Together 38361.0        1         0  27-12-2013       74        39          0               56               20                 8            14                  3                3                    1                  3                  7             0             0             0             0             0         0              3         11         0
       1969 Graduation       Together 38361.0        1         0  27-12-2013       74        39          0               56               20                 8            14                  3                3                    1                  3                  7             0             0             0             0             0         0              3         11         0
       1969 Graduation       Together 68695.0        0         0  25-06-2014        3       458         81              356              106                50            40                  1                4                    4                  7                  2             0             0             0             0             0         0              3         11         0
       1969 Graduation       Together 68695.0        0         0  25-06-2014        3       458         81              356              106                50            40                  1                4                    4                  7                  2             0             0             0             0             0         0              3         11         0
       1969 Graduation          Widow 40590.0        1         1  02-10-2013       30       154          0               50                6                11            37                  5                3                    4                  3                  6             1             0             0             0             0         0              3         11         0
       1969 Graduation          Widow 40590.0        1         1  02-10-2013       30       154          0               50                6                11            37                  5                3                    4                  3                  6             1             0             0             0             0         0              3         11         0
       1969        PhD        Married 55212.0        0         1  23-11-2012       65      1103          0               45                0                 0            34                  3                4                    2                 11                  8             0             1             0             0             1         0              3         11         0
       1969        PhD        Married 55212.0        0         1  23-11-2012       65      1103          0               45                0                 0            34                  3                4                    2                 11                  8             0             1             0             0             1         0              3         11         0
       1970   2n Cycle        Married 15315.0        0         0  03-08-2013       27         7          4               13               15                 8            17                  2                2                    0                  4                  5             0             0             0             0             0         0              3         11         0
       1970   2n Cycle        Married 15315.0        0         0  03-08-2013       27         7          4               13               15                 8            17                  2                2                    0                  4                  5             0             0             0             0             0         0              3         11         0
